ano_dado,variavel,linhas,nao_ausentes,minimo,maximo,ausentes
2016,educ_reprovacao_fundamental_pct,5570,5570,0.0,33.0,0
2016,educ_reprovacao_medio_pct,5570,5561,0.0,54.2,9
2016,impostos_liquidos_mil_reais,5570,5570,-14174.838,117106590.019,0
2016,pib_mil_reais,5570,5570,11679.243,683066696.839,0
2016,pib_per_capita_reais,5570,5570,3191.2,364529.33,0
2016,populacao,5571,5570,815.0,12038175.0,1
2016,vab_administracao_publica_mil_reais,5570,5570,7257.508,92051447.72,0
2016,vab_agropecuaria_mil_reais,5570,5570,0.0,1402282.112,0
2016,vab_industria_mil_reais,5570,5570,361.64,60646691.27,0
2016,vab_servicos_mil_reais,5570,5570,2037.826,463376974.425,0
2016,vab_total_mil_reais,5570,5570,11339.953,565960106.82,0
2017,cempre_pessoal_assalariado_ate2021,5570,5570,16.0,4809967.0,0
2017,cempre_pessoal_ocupado_ate2021,5570,5570,39.0,5539936.0,0
2017,cempre_remuneracoes_mil_reais_ate2021,5570,5570,227.0,249522895.0,0
2017,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.8,6.4,0
2017,cempre_unidades_locais_ate2021,5570,5570,9.0,567669.0,0
2017,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,26.5,0
2017,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,14.6,0
2017,educ_abandono_fundamental_pct,5570,5570,0.0,20.2,0
2017,educ_abandono_medio_pct,5570,5560,0.0,50.7,10
2017,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,39.2,100.0,0
2017,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,61.4,100.0,0
2017,educ_aprovacao_fundamental_pct,5570,5570,58.5,100.0,0
2017,educ_aprovacao_medio_pct,5570,5560,37.2,100.0,10
2017,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,56.9,0
2017,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,29.1,0
2017,educ_reprovacao_fundamental_pct,5570,5570,0.0,30.1,0
2017,educ_reprovacao_medio_pct,5570,5560,0.0,50.8,10
2017,impostos_liquidos_mil_reais,5570,5570,276.627,122526061.015,0
2017,pib_mil_reais,5570,5570,12992.886,698952189.373,0
2017,pib_per_capita_reais,5570,5570,3289.5,346739.34,0
2017,populacao,5571,5570,812.0,12106920.0,1
2017,vab_administracao_publica_mil_reais,5570,5570,7998.199,98002586.38,0
2017,vab_agropecuaria_mil_reais,5570,5570,0.0,1502250.851,0
2017,vab_industria_mil_reais,5570,5570,383.051,58642822.734,0
2017,vab_servicos_mil_reais,5570,5570,2049.474,474787043.038,0
2017,vab_total_mil_reais,5570,5570,12716.259,576426128.358,0
2018,cempre_pessoal_assalariado_ate2021,5570,5570,19.0,4854446.0,0
2018,cempre_pessoal_ocupado_ate2021,5570,5570,59.0,5571893.0,0
2018,cempre_remuneracoes_mil_reais_ate2021,5570,5570,245.0,257932098.0,0
2018,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.8,6.9,0
2018,cempre_unidades_locais_ate2021,5570,5570,5.0,566037.0,0
2018,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,34.4,0
2018,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,13.6,0
2018,educ_abandono_fundamental_pct,5570,5570,0.0,22.4,0
2018,educ_abandono_medio_pct,5570,5561,0.0,51.0,9
2018,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,44.5,100.0,0
2018,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,64.7,100.0,0
2018,educ_aprovacao_fundamental_pct,5570,5570,65.9,100.0,0
2018,educ_aprovacao_medio_pct,5570,5561,29.4,100.0,9
2018,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,45.9,0
2018,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,30.7,0
2018,educ_reprovacao_fundamental_pct,5570,5570,0.0,29.2,0
2018,educ_reprovacao_medio_pct,5570,5561,0.0,62.3,9
2018,impostos_liquidos_mil_reais,5570,5570,64.482,127157037.15,0
2018,pib_mil_reais,5570,5570,14126.614,714663604.042,0
2018,pib_per_capita_reais,5570,5570,4778.52,582654.67,0
2018,populacao,5571,5570,786.0,12176866.0,1
2018,vab_administracao_publica_mil_reais,5570,5570,8331.779,101792841.454,0
2018,vab_agropecuaria_mil_reais,5570,5570,0.0,2482541.819,0
2018,vab_industria_mil_reais,5570,5570,350.745,58064987.762,0
2018,vab_servicos_mil_reais,5570,5570,2149.481,485395448.6,0
2018,vab_total_mil_reais,5570,5570,13772.348,587506566.893,0
2019,cempre_pessoal_assalariado_ate2021,5570,5570,115.0,4996419.0,0
2019,cempre_pessoal_ocupado_ate2021,5570,5570,127.0,5766720.0,0
2019,cempre_remuneracoes_mil_reais_ate2021,5570,5570,1767.0,269629363.0,0
2019,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.8,6.1,0
2019,cempre_unidades_locais_ate2021,5570,5570,3.0,632226.0,0
2019,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,23.7,0
2019,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,13.9,0
2019,educ_abandono_fundamental_pct,5570,5570,0.0,13.2,0
2019,educ_abandono_medio_pct,5570,5561,0.0,37.4,9
2019,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,43.8,100.0,0
2019,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,65.5,100.0,0
2019,educ_aprovacao_fundamental_pct,5570,5570,64.6,100.0,0
2019,educ_aprovacao_medio_pct,5570,5561,43.2,100.0,9
2019,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,55.6,0
2019,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,31.7,0
2019,educ_reprovacao_fundamental_pct,5570,5570,0.0,35.4,0
2019,educ_reprovacao_medio_pct,5570,5561,0.0,53.7,9
2019,impostos_liquidos_mil_reais,5570,5570,347.125,132475060.795,0
2019,pib_mil_reais,5570,5570,15474.464,763597807.913,0
2019,pib_per_capita_reais,5570,5570,4475.16,465097.43,0
2019,populacao,5571,5570,781.0,12252023.0,1
2019,vab_administracao_publica_mil_reais,5570,5570,9046.426,107219248.727,0
2019,vab_agropecuaria_mil_reais,5570,5570,0.0,1575333.227,0
2019,vab_industria_mil_reais,5570,5570,452.018,57130706.301,0
2019,vab_servicos_mil_reais,5570,5570,2309.967,528404124.837,0
2019,vab_total_mil_reais,5570,5570,15127.339,631122747.118,0
2020,cempre_pessoal_assalariado_ate2021,5570,5570,111.0,4828257.0,0
2020,cempre_pessoal_ocupado_ate2021,5570,5570,115.0,5636889.0,0
2020,cempre_remuneracoes_mil_reais_ate2021,5570,5570,1785.0,270765099.0,0
2020,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.9,6.0,0
2020,cempre_unidades_locais_ate2021,5570,5570,6.0,653363.0,0
