variavel_original,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Q23,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q24,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q25,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q26,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q27,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q28,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q29,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q30,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q31,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q32,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q33,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q34,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q35,True,False,False,False,False,False,False,False,False,False,False,False,False,False
